name,sellingDate,size,resellPrice
"Sunday, October 15, 2017",$930,adidas Yeezy Boost 350 V2 Zebra,5
"Saturday, October 14, 2017",$629,adidas Yeezy Boost 350 V2 Zebra,10.5
"Saturday, October 14, 2017",$568,adidas Yeezy Boost 350 V2 Zebra,9.5
"Saturday, October 14, 2017",$616,adidas Yeezy Boost 350 V2 Zebra,11.5
"Saturday, October 14, 2017",$585,adidas Yeezy Boost 350 V2 Zebra,10
"Saturday, October 14, 2017",$589,adidas Yeezy Boost 350 V2 Zebra,10.5
"Saturday, October 14, 2017",$560,adidas Yeezy Boost 350 V2 Zebra,9
"Saturday, October 14, 2017",$560,adidas Yeezy Boost 350 V2 Zebra,9.5
"Saturday, October 14, 2017",$633,adidas Yeezy Boost 350 V2 Zebra,11
"Saturday, October 14, 2017",$616,adidas Yeezy Boost 350 V2 Zebra,9.5
"Saturday, October 14, 2017",$626,adidas Yeezy Boost 350 V2 Zebra,9.5
"Saturday, October 14, 2017",$550,adidas Yeezy Boost 350 V2 Zebra,9
"Saturday, October 14, 2017",$520,adidas Yeezy Boost 350 V2 Zebra,8
"Saturday, October 14, 2017",$585,adidas Yeezy Boost 350 V2 Zebra,10.5
"Saturday, October 14, 2017",$615,adidas Yeezy Boost 350 V2 Zebra,11.5
"Saturday, October 14, 2017",$541,adidas Yeezy Boost 350 V2 Zebra,9
"Saturday, October 14, 2017",$535,adidas Yeezy Boost 350 V2 Zebra,8.5
"Saturday, October 14, 2017",$632,adidas Yeezy Boost 350 V2 Zebra,11.5
"Saturday, October 14, 2017",$530,adidas Yeezy Boost 350 V2 Zebra,8.5
"Saturday, October 14, 2017",$595,adidas Yeezy Boost 350 V2 Zebra,10
"Saturday, October 14, 2017",$591,adidas Yeezy Boost 350 V2 Zebra,11
"Saturday, October 14, 2017",$515,adidas Yeezy Boost 350 V2 Zebra,8
"Saturday, October 14, 2017",$605,adidas Yeezy Boost 350 V2 Zebra,10.5
"Saturday, October 14, 2017",$595,adidas Yeezy Boost 350 V2 Zebra,9.5
"Saturday, October 14, 2017",$660,adidas Yeezy Boost 350 V2 Zebra,11.5
"Saturday, October 14, 2017",$746,adidas Yeezy Boost 350 V2 Zebra,17
"Saturday, October 14, 2017",$750,adidas Yeezy Boost 350 V2 Zebra,16
"Saturday, October 14, 2017",$665,adidas Yeezy Boost 350 V2 Zebra,13.5
"Saturday, October 14, 2017",$548,adidas Yeezy Boost 350 V2 Zebra,9
"Saturday, October 14, 2017",$549,adidas Yeezy Boost 350 V2 Zebra,9
"Saturday, October 14, 2017",$560,adidas Yeezy Boost 350 V2 Zebra,8.5
"Saturday, October 14, 2017",$616,adidas Yeezy Boost 350 V2 Zebra,12
"Saturday, October 14, 2017",$558,adidas Yeezy Boost 350 V2 Zebra,7.5
"Saturday, October 14, 2017",$590,adidas Yeezy Boost 350 V2 Zebra,10.5
"Saturday, October 14, 2017",$599,adidas Yeezy Boost 350 V2 Zebra,9.5
"Saturday, October 14, 2017",$629,adidas Yeezy Boost 350 V2 Zebra,12
"Saturday, October 14, 2017",$520,adidas Yeezy Boost 350 V2 Zebra,8
"Saturday, October 14, 2017",$629,adidas Yeezy Boost 350 V2 Zebra,12
"Saturday, October 14, 2017",$600,adidas Yeezy Boost 350 V2 Zebra,10.5
"Saturday, October 14, 2017",$516,adidas Yeezy Boost 350 V2 Zebra,8
"Saturday, October 14, 2017",$580,adidas Yeezy Boost 350 V2 Zebra,9
"Saturday, October 14, 2017",$631,adidas Yeezy Boost 350 V2 Zebra,11.5
"Saturday, October 14, 2017",$660,adidas Yeezy Boost 350 V2 Zebra,12
"Saturday, October 14, 2017",$760,adidas Yeezy Boost 350 V2 Zebra,4
"Saturday, October 14, 2017",$730,adidas Yeezy Boost 350 V2 Zebra,4.5
"Saturday, October 14, 2017",$626,adidas Yeezy Boost 350 V2 Zebra,13
"Saturday, October 14, 2017",$611,adidas Yeezy Boost 350 V2 Zebra,11.5
"Saturday, October 14, 2017",$535,adidas Yeezy Boost 350 V2 Zebra,8
"Saturday, October 14, 2017",$641,adidas Yeezy Boost 350 V2 Zebra,11
"Saturday, October 14, 2017",$585,adidas Yeezy Boost 350 V2 Zebra,10.5
"Saturday, October 14, 2017",$625,adidas Yeezy Boost 350 V2 Zebra,11
"Saturday, October 14, 2017",$589,adidas Yeezy Boost 350 V2 Zebra,10
"Saturday, October 14, 2017",$600,adidas Yeezy Boost 350 V2 Zebra,7
"Saturday, October 14, 2017",$574,adidas Yeezy Boost 350 V2 Zebra,9
"Saturday, October 14, 2017",$595,adidas Yeezy Boost 350 V2 Zebra,9.5
"Saturday, October 14, 2017",$730,adidas Yeezy Boost 350 V2 Zebra,5.5
"Friday, October 13, 2017",$550,adidas Yeezy Boost 350 V2 Zebra,8.5
