"","name","size","resellPrice","sellDate","day","date","sellMonth"
"206","adidas Yeezy Boost 350 V2 Zebra",5,700,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"207","adidas Yeezy Boost 350 V2 Zebra",11,615,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"208","adidas Yeezy Boost 350 V2 Zebra",14,597,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"209","adidas Yeezy Boost 350 V2 Zebra",9,575,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"210","adidas Yeezy Boost 350 V2 Zebra",10,630,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"211","adidas Yeezy Boost 350 V2 Zebra",11,665,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"212","adidas Yeezy Boost 350 V2 Zebra",9,614,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"213","adidas Yeezy Boost 350 V2 Zebra",11.5,630,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"214","adidas Yeezy Boost 350 V2 Zebra",10,645,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"215","adidas Yeezy Boost 350 V2 Zebra",10,625,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"216","adidas Yeezy Boost 350 V2 Zebra",13,689,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"217","adidas Yeezy Boost 350 V2 Zebra",9,600,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"218","adidas Yeezy Boost 350 V2 Zebra",6.5,825,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"219","adidas Yeezy Boost 350 V2 Zebra",10.5,644,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"220","adidas Yeezy Boost 350 V2 Zebra",14,600,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"221","adidas Yeezy Boost 350 V2 Zebra",9,605,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"222","adidas Yeezy Boost 350 V2 Zebra",13,645,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"223","adidas Yeezy Boost 350 V2 Zebra",14,619,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"224","adidas Yeezy Boost 350 V2 Zebra",14,579,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
"225","adidas Yeezy Boost 350 V2 Zebra",17,746,2017-10-16,"Monday"," October 16, 2017","Oct 2017"
