"","name","size","resellPrice","sellDate","day","date","sellMonth","model","color","retailPrice","releaseDate","releaseMonth","resellPercentage"
"105","adidas Yeezy Boost 350 V2 Zebra",12,665,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",2.02272727272727
"106","adidas Yeezy Boost 350 V2 Zebra",8,560,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.54545454545455
"107","adidas Yeezy Boost 350 V2 Zebra",8.5,556,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.52727272727273
"108","adidas Yeezy Boost 350 V2 Zebra",4.5,709,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",2.22272727272727
"109","adidas Yeezy Boost 350 V2 Zebra",10,630,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.86363636363636
"110","adidas Yeezy Boost 350 V2 Zebra",11,606,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.75454545454545
"111","adidas Yeezy Boost 350 V2 Zebra",12,670,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",2.04545454545455
"112","adidas Yeezy Boost 350 V2 Zebra",11,670,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",2.04545454545455
"113","adidas Yeezy Boost 350 V2 Zebra",14,530,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.40909090909091
"114","adidas Yeezy Boost 350 V2 Zebra",6,749,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",2.40454545454545
"115","adidas Yeezy Boost 350 V2 Zebra",10.5,583,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.65
"116","adidas Yeezy Boost 350 V2 Zebra",6,720,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",2.27272727272727
"117","adidas Yeezy Boost 350 V2 Zebra",9.5,640,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.90909090909091
"118","adidas Yeezy Boost 350 V2 Zebra",10.5,585,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.65909090909091
"119","adidas Yeezy Boost 350 V2 Zebra",10,630,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.86363636363636
"120","adidas Yeezy Boost 350 V2 Zebra",10.5,595,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.70454545454545
"121","adidas Yeezy Boost 350 V2 Zebra",12.5,770,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",2.5
"122","adidas Yeezy Boost 350 V2 Zebra",8.5,555,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.52272727272727
"123","adidas Yeezy Boost 350 V2 Zebra",7,618,2017-10-17,"Tuesday"," October 17, 2017","Oct 2017","350 V2","multicolor",220,2017-02-25,"Feb 2017",1.80909090909091
